no	labeled_no	title	official_title	official_url	first_pub	official_words	txt_cjk_chars	deviation_pct	src_line_start	src_line_end
1	1	玩游戏吗？玩之前先开颅那种	第1章 玩游戏吗？玩之前先开颅那种	https://www.qidian.com/chapter/1025901449/632217048/	2021-01-25 11:03:07	2316	2395	3.4	10	56
2	2	和睦的邻里关系	第2章 和睦的邻里关系	https://www.qidian.com/chapter/1025901449/632218435/	2021-01-25 11:07:12	2571	2704	5.2	58	130
3	3	睡觉！	第3章 睡觉！	https://www.qidian.com/chapter/1025901449/632311298/	2021-01-25 19:54:43	2554	2689	5.3	132	202
4	4	朝着不可言说的方向发展了	第4章 朝着不可言说的方向发展了	https://www.qidian.com/chapter/1025901449/632374822/	2021-01-26 12:00:00	2449	2582	5.4	204	278
5	5	你管这叫休闲治愈游戏？	第5章 你管这叫休闲治愈游戏？	https://www.qidian.com/chapter/1025901449/632375121/	2021-01-26 20:00:00	2424	2532	4.5	280	337
6	6	社恐好了，但是人疯了	第6章 社恐好了，但是人疯了	https://www.qidian.com/chapter/1025901449/632557440/	2021-01-27 09:47:16	2316	2409	4.0	339	392
7	7	厉雪	第7章 厉雪	https://www.qidian.com/chapter/1025901449/632625314/	2021-01-27 17:34:31	2540	2639	3.9	394	447
8	8	系统判定的好人	第8章 系统判定的好人	https://www.qidian.com/chapter/1025901449/632718862/	2021-01-28 10:50:47	2016	2108	4.6	449	496
9	9	他演的就跟亲身经历过一样	第9章 他演的就跟亲身经历过一样	https://www.qidian.com/chapter/1025901449/632719274/	2021-01-28 10:52:59	2269	2356	3.8	498	543
10	10	冰箱	第10章 冰箱	https://www.qidian.com/chapter/1025901449/632959661/	2021-01-29 12:00:18	2149	2229	3.7	545	590
11	11	既然打不过，那就加入“它们”好了	第11章 既然打不过，那就加入“它们”好了	https://www.qidian.com/chapter/1025901449/632959828/	2021-01-29 12:03:06	2269	2347	3.4	592	633
12	12	楼道里的人	第12章 楼道里的人	https://www.qidian.com/chapter/1025901449/633195979/	2021-01-30 11:58:34	2179	2283	4.8	635	691
13	13	第二个任务看电视	第13章 第二个任务看电视	https://www.qidian.com/chapter/1025901449/633200553/	2021-01-30 12:48:03	2114	2239	5.9	693	755
14	14	等级二	第14章 等级二	https://www.qidian.com/chapter/1025901449/633318286/	2021-01-31 12:14:18	2267	2380	5.0	757	816
15	15	是谁在治愈谁？	第15章 是谁在治愈谁？	https://www.qidian.com/chapter/1025901449/633399191/	2021-01-31 18:42:22	2030	2128	4.8	818	866
16	16	房东的戒指	第16章 房东的戒指	https://www.qidian.com/chapter/1025901449/633661664/	2021-02-01 12:06:32	2073	2169	4.6	868	919
17	17	要不要我来教你演反派？	第17章 要不要我来教你演反派？	https://www.qidian.com/chapter/1025901449/633728476/	2021-02-01 17:55:44	2455	2570	4.7	921	981
18	18	恶之花	第18章 恶之花（感谢萌萌哒露露的白银盟！）	https://www.qidian.com/chapter/1025901449/633843122/	2021-02-02 11:04:33	2117	2204	4.1	983	1027
19	19	我，勤勉努力，积极向上	第19章 我，勤勉努力，积极向上	https://www.qidian.com/chapter/1025901449/633925494/	2021-02-02 20:05:04	2073	2173	4.8	1029	1082
20	20	人在害怕时候的勇敢	第20章 人在害怕时候的勇敢（感谢幻羽的白银盟！）	https://www.qidian.com/chapter/1025901449/634024204/	2021-02-03 12:40:01	2253	2329	3.4	1084	1129
21	21	三兄弟	第21章 三兄弟	https://www.qidian.com/chapter/1025901449/634205816/	2021-02-03 21:22:48	2170	2265	4.4	1131	1181
22	22	这孩子非要来我们家玩	第22章 这孩子非要来我们家玩	https://www.qidian.com/chapter/1025901449/634315920/	2021-02-04 12:33:34	2070	2175	5.1	1183	1239
23	23	我的捉迷藏游戏	第23章 我的捉迷藏游戏	https://www.qidian.com/chapter/1025901449/634388311/	2021-02-04 18:27:09	3052	3199	4.8	1241	1321
24	24	假如生命只剩下24小时	第24章 假如生命只剩下24小时	https://www.qidian.com/chapter/1025901449/634495581/	2021-02-05 12:00:00	2120	2224	4.9	1323	1375
25	25	我就那么随口一说	第25章 我就那么随口一说	https://www.qidian.com/chapter/1025901449/634572616/	2021-02-05 17:57:35	2130	2239	5.1	1377	1435
26	26	专属能力捉迷藏	第26章 专属能力捉迷藏	https://www.qidian.com/chapter/1025901449/634673855/	2021-02-06 12:01:53	2130	2217	4.1	1437	1484
27	27	逐渐浮现的真相	第27章 逐渐浮现的真相	https://www.qidian.com/chapter/1025901449/634673976/	2021-02-06 18:00:00	2077	2149	3.5	1486	1522
28	28	公寓楼生存守则	第28章 公寓楼生存守则	https://www.qidian.com/chapter/1025901449/634808730/	2021-02-07 12:03:45	2056	2122	3.2	1524	1563
29	29	黎明前的通讯	第29章 黎明前的通讯	https://www.qidian.com/chapter/1025901449/634808801/	2021-02-07 18:00:00	2051	2125	3.6	1565	1612
30	30	黄赢	第30章 黄赢	https://www.qidian.com/chapter/1025901449/635205483/	2021-02-08 18:18:25	2611	2721	4.2	1614	1673
31	31	黑色的箱子	第31章 黑色的箱子	https://www.qidian.com/chapter/1025901449/635239927/	2021-02-08 22:51:29	2239	2303	2.9	1675	1709
32	32	怪谈里都是骗人的	第32章 怪谈里都是骗人的	https://www.qidian.com/chapter/1025901449/635322880/	2021-02-09 18:05:55	2271	2359	3.9	1711	1759
33	33	害怕得睡不着	第33章 害怕的睡不着（稍微有一丢丢吓人）	https://www.qidian.com/chapter/1025901449/635362836/	2021-02-09 23:11:17	2229	2333	4.7	1761	1815
34	34	拼图案	第34章 拼图案	https://www.qidian.com/chapter/1025901449/635412478/	2021-02-10 13:13:02	2111	2191	3.8	1817	1864
35	35	房东的遗产	第35章 房东的遗产	https://www.qidian.com/chapter/1025901449/635485071/	2021-02-10 23:12:55	2182	2278	4.4	1866	1917
36	36	相亲相爱一家人	第36章 相亲相爱一家人（新年快乐！）	https://www.qidian.com/chapter/1025901449/635522266/	2021-02-11 11:22:25	2233	2334	4.5	1919	1972
37	37	我找到了最后一块拼图	第37章 我找到了最后一块拼图	https://www.qidian.com/chapter/1025901449/635546388/	2021-02-11 17:04:17	2161	2275	5.3	1974	2032
38	38	没人知道她的名字	第38章 没人知道她的名字	https://www.qidian.com/chapter/1025901449/635607958/	2021-02-12 11:11:35	2269	2384	5.1	2034	2093
39	39	猎凶！	第39章 猎凶！	https://www.qidian.com/chapter/1025901449/635665934/	2021-02-12 23:17:23	2267	2378	4.9	2095	2154
40	40	不会破案的喜剧演员不是好玩家	第40章 不会破案的喜剧演员不是好玩家	https://www.qidian.com/chapter/1025901449/635698646/	2021-02-13 12:06:00	2169	2249	3.7	2156	2198
41	41	我会给它一个结局	第41章 我会给它一个结局	https://www.qidian.com/chapter/1025901449/635698756/	2021-02-13 18:00:00	2353	2441	3.7	2200	2247
42	42	你配做主角吗？	第42章 你配做主角吗？	https://www.qidian.com/chapter/1025901449/635747426/	2021-02-14 12:00:00	2042	2130	4.3	2249	2296
43	43	他的眼神太吓人了	第43章 他的眼神太吓人了	https://www.qidian.com/chapter/1025901449/635747502/	2021-02-14 18:00:00	2120	2194	3.5	2298	2336
44	44	魏有福的指引	第44章 魏有福的指引	https://www.qidian.com/chapter/1025901449/635956308/	2021-02-15 23:36:58	3133	3239	3.4	2338	2395
45	45	善意遇见善意	第45章 善意遇见善意	https://www.qidian.com/chapter/1025901449/636026766/	2021-02-16 19:28:06	2049	2114	3.2	2397	2431
46	46	五楼	第46章 五楼	https://www.qidian.com/chapter/1025901449/636054298/	2021-02-16 23:20:34	2057	2148	4.4	2433	2485
47	47	不要回头看	第47章 不要回头看	https://www.qidian.com/chapter/1025901449/636123102/	2021-02-17 18:25:30	2073	2172	4.8	2487	2540
48	48	韩非的礼物	第48章 韩非的礼物	https://www.qidian.com/chapter/1025901449/636161048/	2021-02-17 23:35:15	2109	2195	4.1	2542	2594
49	49	吃人的房间	第49章 吃人的房间	https://www.qidian.com/chapter/1025901449/636240251/	2021-02-18 19:37:34	2185	2274	4.1	2596	2649
50	50	请吃饭的漂亮姐姐？	第50章 请吃饭的漂亮姐姐？	https://www.qidian.com/chapter/1025901449/636240307/	2021-02-18 19:39:21	2072	2154	4.0	2651	2698
51	51	她已经算是比较正常的邻居了	第51章 她已经算是比较正常的邻居了	https://www.qidian.com/chapter/1025901449/636358803/	2021-02-19 17:01:48	2073	2169	4.6	2700	2753
52	52	等级四	第52章 等级四	https://www.qidian.com/chapter/1025901449/636359097/	2021-02-19 17:05:44	2191	2285	4.3	2755	2806
53	53	死者书写的名字	第53章 死者书写的名字	https://www.qidian.com/chapter/1025901449/636520358/	2021-02-20 19:31:07	2116	2202	4.1	2808	2854
54	54	伊甸之屋	第54章 伊甸之屋	https://www.qidian.com/chapter/1025901449/636520529/	2021-02-20 19:37:13	2202	2287	3.9	2856	2900
55	55	喜剧演员学习格斗不是很正常的一件事吗	第55章 喜剧演员学习格斗不是很正常的一件事吗	https://www.qidian.com/chapter/1025901449/636636841/	2021-02-21 18:21:09	2223	2291	3.1	2902	2939
56	56	最完美的主角	第56章 最完美的主角	https://www.qidian.com/chapter/1025901449/636636931/	2021-02-21 18:23:18	2270	2354	3.7	2941	2984
57	57	我来陪陪哭吧	第57章 我来陪陪哭吧	https://www.qidian.com/chapter/1025901449/636797598/	2021-02-22 19:17:59	2030	2096	3.3	2986	3023
58	58	三个关键的问题	第58章 三个关键的问题	https://www.qidian.com/chapter/1025901449/636829218/	2021-02-22 23:00:39	2134	2226	4.3	3025	3071
59	59	拾金不昧的良好品德	第59章 拾金不昧的良好品德	https://www.qidian.com/chapter/1025901449/636938852/	2021-02-23 17:03:39	2299	2407	4.7	3073	3132
60	60	飙升的友善度	第60章 飙升的友善度	https://www.qidian.com/chapter/1025901449/636989713/	2021-02-23 23:09:50	2217	2299	3.7	3134	3183
61	61	你是不是有病？	第61章 你是不是有病？	https://www.qidian.com/chapter/1025901449/637123307/	2021-02-24 20:54:19	2111	2198	4.1	3185	3235
62	62	推心置腹，肝胆相照，两肋插刀	第62章 推心置腹，肝胆相照，两肋插刀	https://www.qidian.com/chapter/1025901449/637123363/	2021-02-24 20:56:07	2722	2813	3.3	3237	3295
63	63	天堂电影院工作证	第63章 天堂电影院工作证	https://www.qidian.com/chapter/1025901449/637297658/	2021-02-25 22:17:36	2097	2180	4.0	3297	3344
64	64	我希望你做的第一件事	第64章我希望你做的第一件事	https://www.qidian.com/chapter/1025901449/637297729/	2021-02-25 22:18:08	2794	2924	4.7	3346	3419
